0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic/components/owners/owner_details.html HTTP/1.1" 200 6593
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic/components/_partials/_modal_add_owner.html HTTP/1.1" 200 9665
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic/components/_partials/_modal_add_pet.html HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:33 +0400] "GET /petclinic/components/_partials/_modal_add_pet_visit.html HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/jscoverage.html?index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/jscoverage-highlight.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/jscoverage-throbber.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/jscoverage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/jscoverage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/plugins/bootstrap-datepicker/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/plugins/jquery/jquery-2.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/plugins/bootstrap-datepicker/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/angular-ui-router-statehelper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/angular-ui-router.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/angular-mocks.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/services/services.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/lib/angular-storage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/main/MainController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/veterinarians/VeterinarianController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/pets/PetController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/visits/VisitController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/dashboard/DashboardController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/owners/OwnerController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/_partials/SearchController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/directives/DatePickerDirective.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:19:43:43 +0400] "GET /petclinic/components/_partials/_modal_search.html HTTP/1.1" 304 -
